"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","students","reading","knowledge","children","public","service","freedom","history","health","cataloging"
"2","education","women","social","percent","diversity","american","rights","collection","literacy","catalog"
"3","school","public","culture","public","social","materials","public","american","social","university"
"4","programs","school","literature","reading","american","public","intellectual","society","community","data"
"5","faculty","education","world","school","cultural","war","access","century","public","cost"
"6","learning","cent","own","american","people","used","ala","black","university","subject"
"7","university","readers","problem","aid","community","time","american","university","access","time"
"8","program","read","different","population","education","civil","censorship","college","users","media"
"9","student","men","time","variables","services","government","right","years","archival","number"
"10","course","group","subject","used","white","printing","children","public","digital","used"
